description,name,price,url
Construction: Semi-Hollow with F-holes and mahogany sustain block. Body with arched top: Maple. Set-in neck: Canadian maple. Fretboard: Pau Ferro. Block fretboard inlays. Double action truss rod. Scale length: 628 mm. Fretboard radius: 305 mm. Nut width: 42 mm. 22 Frets. Pickups: 2 Roswell LAF AlNiCo 5 humbuckers with caps. 2 x Volume controls with puch/pull function for coil split. 2 x Tone controls. 3-Way switch for pickup selection. Tune-O-Matic bridge. Sealed DieCast machine heads. Gold-plated hardware. Strings: Daddario .010 - .046 (Art.. ). Colour: Metallic Green. Electric Guitar,Harley Benton HB-35Plus Metallic Green,€249,https://www.thomann.de/ie/harley_benton_hb_35plus_metallic_green.htm
"Jazz Collection Thinline with f-holes. Body & Top: Maple. Neck: Maple. Fretboard: Pau Ferro. Fretboard inlays: Triangle. Pickups: 2 Probucker humbuckers with coil splitting. Hardware: Gold-plated. Colour: Vintage Sunburst. Corresponding case: Article Nr .  or Article Nr .  (both are not included, must be ordered separately). Electric Guitar. Epiphone has largely retained the characteristics of its famous American big sister, and the sound that comes from the two humbuckers is clearly reminiscent of the original: a rather soft and full-bodied tone, ideally suited for jazz, but with enough edge so that other styles such as blues and rock still sound great.. As with any good semi-acoustic, the Sheraton also has a bit of a ""woody"" resonance in the sound. This is particularly noticeable with more intricate and delicate playing styles in the clean and low crunch range, due to its rich frequency spectrum and great dynamics.",Epiphone Sheraton-II Pro VS,€615,https://www.thomann.de/ie/epiphone_sheraton_ii_pro_vs.htm
"Hollow body - double cut. 5-Ply body: Maple. Body size: 16"" (40.64 cm). Neck: Maple. Neck profile: U. Fretboard: Rosewood. Fretboard radius: 12"" (305 mm). Frets: 22 Medium jumbo. Fretboard inlays:Pearloid hump block. Nut: 43 mm, Graph Tech Nubone. Scale: 625 mm. Pickups: 2 Blacktop FilterTron pickups. Controls: 2 Volume, 1 master volume and 1 master tone. 3-Way toggle switch. Bridge: Adjusto-Matic. Tremolo: Bigsby licensed B60. Hardware: Gold-plated. Colour: Snowcrest White High-gloss. Corresponding case available under Article Nr .  (not included). Electric Guitar",Gretsch G5422TG Electromatic SW,€975,https://www.thomann.de/ie/gretsch_g5422tg_electromatic_sw.htm
"Body: Alder. Maple neck. Pau Ferro fretboard. Matte neck finish. 22 Frets. Scale: 648 mm. Nut width: 42 mm. Pickups: 3 New Player AlNiCo V single coils. Controls: Volume, tone (neck & middle) and tone (bridge). 5-Way toggle switch. 2-Point tremolo. Standard sealed machine heads. Ex-factory stringing: Fender .009 - .042 (article nr . ). Colour: 3-Tone sunburst. Electric Guitar",Fender Player Series Strat PF 3TS,€666,https://www.thomann.de/ie/fender_player_series_strat_pf_3ts.htm
Body: Basswood. Neck: Maple. Neck profile: Modern C. Fretboard: Roseacer. Fretboard radius: 350 mm. DOT fretboard inlays. 22 Frets. Scale: 648 mm. Nut width: 42 mm. Double-action truss rod. Pickups: 1 Humbucker and 2 single coils. 1 Volume control and 2 tone controls. 5-Way switch. Chrome hardware. Synchronised tremolo. Closed machine heads. Strings: .009 - .042. Colour: 3-Tone Sunburst. Corresponding cases: Article Nr .  and Article Nr .  (both not included). Electric guitar,Harley Benton ST-20HSS SB Standard Series,€88,https://www.thomann.de/ie/harley_benton_st_20hss_sb_standard_series.htm
"Build: Semi-hollow body with sustain centre block. Arched, laminated top: Spruce. Arched, laminated body: Flamed maple. Neck: Maple. Fretboard: Rosewood. Body dimensions: 46 x 34 x 4.5 cm. 22 Jumbo frets. Fretboard radius: 305 mm. Dual action truss rod. Scale: 647 mm. Nut width: 42 mm. Pickup: Duesenberg DP90 Domino single coil (neck) and Grand Vintage humbucker (bridge). Master volume and master tone controls. 3-Way switch. Duesenberg Diamond Deluxe tremolo. Nickel hardware. Duesenberg Z-Tuner machine heads. Colour: Vintage burst. Duesenberg case included. Electric Guitar",Duesenberg Starplayer TV Vintage Burst,"€2,333",https://www.thomann.de/ie/duesenberg_starplayer_tv_vintage_burst.htm
"Design: Hollow-body with centre block and double cutaway. Body: Laminated mahogany. Top: Laminated mahogany. Set-in neck: Nato. Fretboard: Laurel. Fretboard inlays: Pearloid Ovals. Neck profile: Thin U. Scale: 629 mm (24.76""). Fretboard radius: 305 mm (12.01""). Nut width: 42.8 mm (1.69”""). Nut: Synthetic bone. Frets: 22 Medium jumbo. 2 FideliSonic 90 P90 single coil pickups. Controls: 2 Volume, 1 Master Volume, 1 Master Tone. 3-Way switch. Pickguard: Tortoise single-ply with gold Gretsch logo. Bridge: Adjusto-Matic. Tremolo: Bigsby B50. Machine heads: Diecast. Hardware: Nickel. Strings: NPS .010 - .046. Colour: Two-Tone Mint Metallic and Vintage Mahogany Stain. Electric Guitar",Gretsch G2655T-P90 CB DC Bgsby TTMM,€572,https://www.thomann.de/ie/gretsch_g2655t_p90_cb_dc_bgsby_ttmm.htm
Custom Shop. VOS - Vintage Original Specifications. Body: One-piece mahogany. Neck: One-piece mahogany. Fretboard: Ebony. Fretboard inlays: LP Custom Pearl. Headstock: LP Custom Pearl Holly veneer. Scale: 628 mm. Pickups: 3 Unpotted Custombucker (AlNiCo 3) humbuckers. Bridge: ABR-1. Tremolo: Bigsby. Machine heads: Gold Waffle Back. Hardware: Gold. Serial number: 70409. Weight: 4.40 kg. Colour: Antique Ebony. Includes a case and certificate. Made in the USA. Electric Guitar,Gibson LP 57 Custom 3PU Bigsby VOS,"€7,299",https://www.thomann.de/ie/gibson_lp_57_custom_3pu_bigsby_vos.htm
Matthew Bellamy (Muse) signature model. Body: Basswood. Bolt-on neck: Maple. Fretboard: Indian Laurel. Compound fretboard radius: 305 - 405 mm. 22 Frets. Scale: 648 mm. Pickup: 2 Manson design humbuckers. 1 Volume control and 1 tone control. 3-Way switch. Kill switch. Clamping machine heads. Tune-O-Matic bridge. Stoptail tailpiece. Black hardware. Ex-factory stringing: D'Addario EXL110 Nickel Wound .010 - .046. Colour: Starlight Silver. Electric Guitar,Cort MBM-1 Manson Meta Silver,€611,https://www.thomann.de/ie/cort_mbm_1_manson_meta_silver.htm
John Scofield Signature model. Build: Semi-acoustic. Body: Flamed maple. Body depth: 6.66 cm. Set-in neck: 3-Piece nyatoh / maple. Neck profile: JSM. Fretboard: Ebony with binding. Pearl and Abalone Block fretboard inlays. Bone nut. Scale: 628 mm. Pickup: 2 Super 58 humbuckers. ART-1 bridge and Quick Change III tailpiece. 3-Way switch. Tri-Sound switch. Gold-plated hardware. Colour: Vintage yellow sunburst. Case included. Electric Guitar,Ibanez JSM10-VYS John Scofield,"€1,190",https://www.thomann.de/ie/ibanez_jsm10_vys_john_scofield.htm
"Design: Hollowbody. Body: Basswood. Neck: Nyatoh. Neck attachment: Set-in. Fretboard: Walnut. Fretboard inlays: Acrylic blocks. Neck profile: AS Artcore (thickness of the 1st fret: 21 mm / thickness of the 12th fret: 24 mm). Scale: 629 mm. Fretboard radius: 305 mm. Nut width: 43 mm. Frets: 22 Medium. Pickups: 2x Classic Elite humbuckers. Controls: 2x Volume, 2x Tone. 3-Way switch. Bridge: Gibraltar Performer Tune-O-Matic-style with Quik Change III tailpiece. Machine heads: Ibanez. Hardware: Gold-plated. Strings: D'Addario EXL140, .010 - .052. Colour: Rose Gold Metallic Flat. Electric Guitar",Ibanez AS73G-RGF,€465,https://www.thomann.de/ie/ibanez_as73g_rgf.htm
"Design: Thinline hollow body with mahogany centre block. Body and archtop: Laminated maple. Neck: Mahogany. Fretboard: Rosewood. 20 Frets. Nut width: 42.8 mm. Scale: 628 mm. Pickups: 2 Guild HB-2 humbuckers. Controls: 2 Volume, 2 Tone. Push-pull function for coil split on each pickup. 3-Way switch. Bridge: Guild Adjusto-Matic. Tremolo: Bigsby. Machine heads: Premium Guild Vintage 18 open back. Colour: Sea Foam Green. Electric Guitar",Guild Starfire I SC Seafoam Green,€549,https://www.thomann.de/ie/guild_starfire_i_sc_seafoam_green.htm
Left-handed model. Artcore series. Body: Flamed maple. 3-Piece set neck: Nyatoh/maple. 22 Medium frets. Fretboard: Ebony. ART-1 bridge with Quik-Change III tailpiece. White block fretboard inlays. Golden hardware. Pickups: 2 Super 58 humbuckers. Colour: Violin Sunburst. Semi Hollow Electric Guitar,Ibanez AS93FML-VLS,€633,https://www.thomann.de/ie/ibanez_as93fml_vls.htm
"Body shape: 16"" hollow body single cut. 5-ply body: Maple. Neck: Maple. Neck profile: U. Fretboard: Rosewood. Fretboard radius: 305 mm (12""). 22 Medium jumbo frets. Scale: 625 mm. Nut width: 43 mm. Pearloid Neo-Classic thumbnail inlays. Pickup: 2 Blacktop FilterTrons. 2 Volume, 1 master volume and 1 master tone controls. 3-Way toggle switch. GraphTech NuBone nut. Adjusto-Matic bridge. Bigsby licensed B60 tremolo. Colour: Aspen Green high-gloss. Electric Guitar",Gretsch G5420T Electromatic AGR ,€815,https://www.thomann.de/ie/gretsch_g5420t_electromatic_agr_2016.htm
"Semi-hollow. Arched top made of laminated spruce. Arched back made of laminated flamed maple. Sustain centre block. Block body size: 46 x 34 x 7 cm. Neck: Maple. Fretboard: Rosewood (Dalbergia latifolia). Scale: 647 mm. Nut width: 42 mm. 22 Jumbo frets. 12"" Fretboard radius. Dual action truss rods. Pickups: 1 x Duesenberg DP90 Domino single coil, 1 x Grand Vintage humbucker and bridge piezo. Controls: Master volume, master tone and 3-way toggle switch. Duesenberg Diamond Deluxe tremolo. Colour: Black. Incl. Duesenberg case. Electric Guitar",Duesenberg Starplayer TV Plus BK,"€2,666",https://www.thomann.de/ie/duesenberg_starplayer_tv_plus_bk.htm
